research_question,query_id,target_query,generated_query,bertscore_precision,bertscore_recall,bertscore_f1
"What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?",1,"Influence of decarburized layer thickness, porosity, and thermal gradient on spalling fatigue in MgO-C snorkel refractories under oxygen lance conditions",mechanism + material + process condition + oxygen lance injection + refractory wear in RH vacuum degasser snorkel tubes,0.8388105034828186,0.8406832218170166,0.839745819568634
"What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?",2,"Synergistic corrosion of MgO-C and spinel refractories by RH slag at 1650°C: effect of oxygen lance on slag basicity, FeO activity, and penetration kinetics",mechanism + material + process condition + refractory protection + oxygen lance injection + slag attack on refractory castables,0.8436958193778992,0.8286209106445312,0.8360903859138489
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,1,BOF skull formation lance height prevention,mechanism + lance tip design + post-combustion efficiency + lance height + oxygen flow rate,0.8269338607788086,0.8577225208282471,0.8420467972755432
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,2,Basic oxygen furnace high scrap ratio post combustion efficiency,lance configuration + lance height + secondary oxygen + post-combustion efficiency + slag basicity + MgO content,0.8381940126419067,0.8753368854522705,0.8563628792762756
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,3,BOF oxygen lance Mach number 2.0 supersonic nozzle Laval design,mechanism + lance configuration + post-combustion efficiency + high scrap ratio + BOF,0.8357129096984863,0.8506066799163818,0.8430940508842468
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,4,BOF bottom stirring argon flow rate combined blowing converter,lance configuration + nozzle throat diameter + exit diameter + length + optimal design + high scrap ratio + BOF + skull formation + post-combustion efficiency,0.8023671507835388,0.8386310338973999,0.8200984597206116
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,5,Post combustion ratio scrap melting heat balance BOF increase scrap,mechanism + material + process condition + BOF + high scrap ratio + skull formation + post-combustion efficiency,0.8350739479064941,0.8587921261787415,0.846767008304596
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,6,BOF lance height blow start end soft hard blow slag formation mm,lance configuration and secondary oxygen control for minimizing skull formation and maximizing post-combustion efficiency in a BOF with high scrap ratio (25%),0.8275347352027893,0.8252252340316772,0.8263784050941467
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,7,Post combustion efficiency heat transfer efficiency BOF percent CO2 CO optimal lance distance,"lance height configuration for minimizing skull formation and maximizing post-combustion efficiency in BOF with high scrap ratio, considering slag basicity and temperature constraints",0.8332815170288086,0.837539553642273,0.8354051113128662
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,8,BOF specific oxygen blowing rate 2.5 to 4 Nm3 per ton per minute decarburization,mechanism + material + process condition + lance height + secondary oxygen flow + lance tip life extension + post-combustion efficiency + skull formation,0.8054503798484802,0.804082989692688,0.8047661185264587
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,9,Post combustion heat transfer efficiency increases scrap melting CO2 to CO ratio bath surface distance trials,"lance height configuration and oxygen blowing rate for minimizing skull formation and maximizing post-combustion efficiency in a BOF with high scrap ratio, considering refractory interactions and slag basicity during top-blown operation.",0.839898943901062,0.8334943056106567,0.8366844058036804
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,10,BOF lance height range meters above bath converter typical operating,"lance configuration and operating parameters for minimizing skull formation and maximizing post-combustion efficiency in BOF with high scrap ratio, including effects of lance height and argon flow rate on CO2/(CO+CO2) ratio and melt quality.",0.8094390034675598,0.84303879737854,0.8258973360061646
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,11,Skull formation BOF lance causes FeO slag basicity low temperature solid slag prevention MgO,"lance height adjustment for minimizing skull formation and maximizing post-combustion efficiency in BOF with high scrap ratio, considering specific material interactions and refractory protection mechanisms.",0.8304177522659302,0.8180800676345825,0.8242027759552002
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,12,Bottom stirring improves scrap melting carbon oxygen equilibrium reduces FeO BOF,lance configuration and slag basicity relationship in BOF with high scrap ratio and FeO content,0.8482738733291626,0.8637509942054749,0.8559424877166748
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,13,Double flow post combustion lance tip life doubled scrap consumption increase trials,mechanism + lance configuration + post-combustion efficiency + high scrap ratio BOF,0.8633205890655518,0.8679239749908447,0.8656162023544312
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,14,Lance height increase higher post combustion ratio FeO foamy slag PCR converter,"lance configuration and secondary oxygen flow rate for minimizing skull formation and maximizing post-combustion efficiency in BOF with high scrap ratio, considering blast furnace slag properties and refractory interactions at elevated temperatures.",0.836517333984375,0.8460685014724731,0.8412657976150513
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,15,Optimization swirl flow post-combustion oxygen lance parameters CFD 260-ton converter,lance configuration + secondary oxygen flow + swirl number + lance height + optimal parameters + BOF steelmaking,0.8359927535057068,0.853295624256134,0.8445556163787842
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,16,Variation Multiphase Flow Single-Flow Post-combustion Oxygen Lance BOF Steelmaking,secondary oxygen flow 3% total swirl number 0.5 optimize BOF post-combustion lance configuration,0.8654791712760925,0.8757776618003845,0.8705980181694031
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,17,Post-combustion oxygen secondary 3% total oxygen flow LD3 trials,"Specific operational parameters and lance configurations for minimizing skull formation and maximizing post-combustion efficiency in a BOF with a high scrap ratio charge (above 25%), considering the impact of secondary oxygen flow and swirl number on blast furnace performance.",0.8297189474105835,0.8776892423629761,0.853030264377594
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,18,LD3 post-combustion lance secondary oxygen 3% total oxygen flow rate trials,secondary oxygen flow 3% total lance height 1.8 m swirl number 0.5 post-combustion efficiency BOF high scrap ratio conversion,0.8729096055030823,0.9016114473342896,0.8870283365249634
How to protect the slag line from the electric arc's radiation in a ladle furnace?,1,foamy slag practice EAF arc shielding refractory protection,magnesium oxide-c refractories + slag composition + arc radiation + protective layer mechanism,0.8540048003196716,0.874981701374054,0.8643659949302673
How to protect the slag line from the electric arc's radiation in a ladle furnace?,2,magnesia carbon brick slag line composition antioxidant aluminum silicon,Foamy slag practice in electric arc furnaces: Mechanism and process parameters for effective slag line protection,0.8458983302116394,0.847673773765564,0.8467851877212524
How to protect the slag line from the electric arc's radiation in a ladle furnace?,3,ladle furnace long arc submerged arc slag cover electrode,mechanism + material + process condition + oxidation resistance + arc radiation protection,0.8126844167709351,0.8244290351867676,0.8185145854949951
How to protect the slag line from the electric arc's radiation in a ladle furnace?,4,MgO saturation slag ladle refractory dolomite addition,magnesia carbon brick slag line composition antioxidant aluminum silicon refractory protection process,0.8756260871887207,0.8608111143112183,0.8681553602218628
How to protect the slag line from the electric arc's radiation in a ladle furnace?,5,"""slag splashing"" BOF magnesia coating refractory lining life",magnesia carbon brick slag line composition MgO saturation arc radiation protection,0.8564090728759766,0.8587110042572021,0.8575584888458252
How to protect the slag line from the electric arc's radiation in a ladle furnace?,6,"""ladle furnace"" refractory ""slag line"" carbon content 15% 20% MgO-C brick",magnesia carbon brick slag line composition antioxidant aluminum silicon for reducing arc radiation damage in a ladle furnace,0.8614240884780884,0.8482359051704407,0.8547791242599487
How to protect the slag line from the electric arc's radiation in a ladle furnace?,7,"""ladle furnace"" arc radiation slag line refractory wear secondary steelmaking",magnesia carbon brick slag line composition controlling arc length slag basicity,0.8601275682449341,0.8486899137496948,0.8543704748153687
How to protect the slag line from the electric arc's radiation in a ladle furnace?,8,RHI Magnesita ladle slag line MgO-C brick ANKRAL,mechanism of arc radiation causing slag line refractory damage in electric arc furnaces,0.8254219889640808,0.8239026069641113,0.8246615529060364
How to protect the slag line from the electric arc's radiation in a ladle furnace?,9,0: ladle slag basicity CaO SiO2 ratio MgO saturation refractory protection,magnesia carbon brick slag line composition antioxidant aluminum silicon slag splashing arc radiation,0.8587486743927002,0.812980592250824,0.8352380394935608
How to protect the slag line from the electric arc's radiation in a ladle furnace?,10,"""resin bonded"" ""pitch bonded"" magnesia carbon brick comparison ladle",mechanism of CaO/SiO2 ratio and MgO saturation in protecting MgO-C refractory against arc radiation in ladle furnace slag,0.7926033735275269,0.8171542882919312,0.8046916723251343
How to protect the slag line from the electric arc's radiation in a ladle furnace?,11,"""foamy slag"" ladle furnace carbon injection long arc protection",magnesia carbon brick slag line composition resin/bonding system arc radiation resistance,0.8630543947219849,0.8651036024093628,0.8640777468681335
How to protect the slag line from the electric arc's radiation in a ladle furnace?,12,"""ladle metallurgy"" arc impingement refractory damage electrode misalignment",mechanism of carbon injection for maintaining foamy slag stability in a ladle furnace,0.8410766124725342,0.8322700262069702,0.8366501331329346
