research_question,query_id,target_query,generated_query,bertscore_precision,bertscore_recall,bertscore_f1
"What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?",1,"Influence of decarburized layer thickness, porosity, and thermal gradient on spalling fatigue in MgO-C snorkel refractories under oxygen lance conditions","oxidation"" ""spalling"" ""thermal cycling"" ""MgO-C"" refractory",0.8740686178207397,0.844433069229126,0.858995258808136
"What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?",2,"Synergistic corrosion of MgO-C and spinel refractories by RH slag at 1650°C: effect of oxygen lance on slag basicity, FeO activity, and penetration kinetics",Effect of oxygen lance injection on the penetration depth of basic slag in MgO-C refractory castables,0.9116195440292358,0.874525785446167,0.8926874399185181
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,1,BOF skull formation lance height prevention,"secondary oxygen"" ""post-combustion"" lance height converter",0.8578826785087585,0.8849446773529053,0.8712035417556763
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,2,Basic oxygen furnace high scrap ratio post combustion efficiency,"rotating lance tip"" ""post combustion"" BOF",0.8508660793304443,0.8516843318939209,0.8512750267982483
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,3,BOF oxygen lance Mach number 2.0 supersonic nozzle Laval design,basic oxygen furnace lance height reduction skull formation,0.8633133172988892,0.8425495028495789,0.8528050780296326
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,4,BOF bottom stirring argon flow rate combined blowing converter,Basic oxygen furnace lance life reduction skull formation,0.8338550329208374,0.8417653441429138,0.8377915620803833
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,5,Post combustion ratio scrap melting heat balance BOF increase scrap,Basic Oxygen Furnace BOF ladle slag volume reduction,0.8570438623428345,0.8701661825180054,0.8635551333427429
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,6,BOF lance height blow start end soft hard blow slag formation mm,Basic Oxygen Furnace lance height 1.8 2.0 m optimal post combustion,0.8582179546356201,0.8518173098564148,0.8550056219100952
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,7,Post combustion efficiency heat transfer efficiency BOF percent CO2 CO optimal lance distance,Basic oxygen furnace lance height 1.5 2.0 2.5 m slag foaming,0.8485396504402161,0.8402031660079956,0.8443508148193359
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,8,BOF specific oxygen blowing rate 2.5 to 4 Nm3 per ton per minute decarburization,Basic oxygen furnace lance height reduction skull formation,0.8448766469955444,0.8074307441711426,0.8257293701171875
