research_question,query_id,target_query,generated_query,bertscore_precision,bertscore_recall,bertscore_f1
How to protect the slag line from the electric arc's radiation in a ladle furnace?,1,foamy slag practice EAF arc shielding refractory protection,ladle furnace slag line protection electric arc radiation mechanisms,0.8665549755096436,0.8786895275115967,0.8725800514221191
How to protect the slag line from the electric arc's radiation in a ladle furnace?,2,magnesia carbon brick slag line composition antioxidant aluminum silicon,ladle furnace slag line protection electric arc radiation refractory materials,0.8554431796073914,0.8781521320343018,0.8666489124298096
How to protect the slag line from the electric arc's radiation in a ladle furnace?,3,ladle furnace long arc submerged arc slag cover electrode,ladle furnace slag line protection electric arc radiation refractory materials thermal shielding,0.8855874538421631,0.9160729050636292,0.9005722999572754
How to protect the slag line from the electric arc's radiation in a ladle furnace?,4,MgO saturation slag ladle refractory dolomite addition,ladle furnace slag line refractory erosion mechanism arc radiation heat transfer,0.8661158084869385,0.8558536767959595,0.8609541654586792
How to protect the slag line from the electric arc's radiation in a ladle furnace?,5,"""slag splashing"" BOF magnesia coating refractory lining life",ladle furnace slag line radiation shielding refractory materials thermal conductivity,0.8631269335746765,0.868061363697052,0.8655871152877808
How to protect the slag line from the electric arc's radiation in a ladle furnace?,6,"""ladle furnace"" refractory ""slag line"" carbon content 15% 20% MgO-C brick",ladle furnace slag line protection electric arc radiation refractory materials thermal shielding,0.8810913562774658,0.8578993082046509,0.869340717792511
How to protect the slag line from the electric arc's radiation in a ladle furnace?,7,"""ladle furnace"" arc radiation slag line refractory wear secondary steelmaking",ladle furnace arc radiation protection refractory materials thermal conductivity emissivity,0.9003685712814331,0.8966077566146851,0.8984842300415039
How to protect the slag line from the electric arc's radiation in a ladle furnace?,8,RHI Magnesita ladle slag line MgO-C brick ANKRAL,ladle furnace slag line protection arc radiation refractory additives spinel formation,0.8379407525062561,0.8330354690551758,0.8354809284210205
How to protect the slag line from the electric arc's radiation in a ladle furnace?,9,0: ladle slag basicity CaO SiO2 ratio MgO saturation refractory protection,ladle furnace slag line protection arc radiation refractory materials thermal conductivity,0.8833993673324585,0.8346469402313232,0.8583314418792725
How to protect the slag line from the electric arc's radiation in a ladle furnace?,10,"""resin bonded"" ""pitch bonded"" magnesia carbon brick comparison ladle",ladle furnace slag line refractory erosion mechanisms arc radiation thermal shock chemical attack,0.8179339170455933,0.8285956382751465,0.8232302665710449
How to protect the slag line from the electric arc's radiation in a ladle furnace?,11,"""foamy slag"" ladle furnace carbon injection long arc protection",ladle furnace slag line protection arc radiation refractory coating sprayable gunning mix,0.8603828549385071,0.8725094795227051,0.8664037585258484
How to protect the slag line from the electric arc's radiation in a ladle furnace?,12,"""ladle metallurgy"" arc impingement refractory damage electrode misalignment",ladle furnace arc radiation shielding slag line refractory design heat flux modeling,0.8784533739089966,0.8708575367927551,0.8746389150619507
"What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?",1,"Influence of decarburized layer thickness, porosity, and thermal gradient on spalling fatigue in MgO-C snorkel refractories under oxygen lance conditions",RH vacuum degasser snorkel tube refractory wear mechanisms oxygen top lance injection,0.8476651906967163,0.8322551846504211,0.8398894667625427
"What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?",2,"Synergistic corrosion of MgO-C and spinel refractories by RH slag at 1650°C: effect of oxygen lance on slag basicity, FeO activity, and penetration kinetics",Mechanisms of refractory erosion in RH degasser snorkel tubes: oxygen lance injection effects on chemical corrosion and thermal shock,0.8764009475708008,0.847959041595459,0.861945390701294
