research_question,query_id,target_query,generated_query,bertscore_precision,bertscore_recall,bertscore_f1
"What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?",1,"Influence of decarburized layer thickness, porosity, and thermal gradient on spalling fatigue in MgO-C snorkel refractories under oxygen lance conditions",Mechanisms of refractory erosion by oxygen lance in RH degasser snorkel tubes,0.8706821799278259,0.8570095300674438,0.8637917637825012
"What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?",2,"Synergistic corrosion of MgO-C and spinel refractories by RH slag at 1650°C: effect of oxygen lance on slag basicity, FeO activity, and penetration kinetics",Effect of oxygen lance turbulence on protective slag layer removal in RH degasser snorkel tubes,0.8665395975112915,0.8413168787956238,0.8537420034408569
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,1,BOF skull formation lance height prevention,BOF lance height nozzle angle high scrap ratio skull formation post-combustion,0.8714370131492615,0.9199289679527283,0.895026683807373
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,2,Basic oxygen furnace high scrap ratio post combustion efficiency,BOF high scrap ratio lance tip design post-combustion efficiency skull reduction,0.8944132328033447,0.9083348512649536,0.9013202786445618
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,3,BOF oxygen lance Mach number 2.0 supersonic nozzle Laval design,BOF lance nozzle angle skull prevention high scrap ratio patent,0.8728881478309631,0.8744754195213318,0.8736810684204102
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,4,BOF bottom stirring argon flow rate combined blowing converter,BOF lance swirl flow post-combustion efficiency skull reduction CFD,0.8718538284301758,0.8749906420707703,0.8734194040298462
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,5,Post combustion ratio scrap melting heat balance BOF increase scrap,lance tip cooling water temperature skull adhesion BOF high scrap,0.8685785531997681,0.8824291825294495,0.8754490613937378
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,6,BOF lance height blow start end soft hard blow slag formation mm,lance nozzle angle BOF high scrap ratio skull prevention heat distribution,0.8554227948188782,0.8528385162353516,0.8541287183761597
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,7,Post combustion efficiency heat transfer efficiency BOF percent CO2 CO optimal lance distance,lance tip nozzle angle BOF high scrap skull prevention post-combustion optimization,0.8668471574783325,0.8546547293663025,0.8607078194618225
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,8,BOF specific oxygen blowing rate 2.5 to 4 Nm3 per ton per minute decarburization,lance tip cooling water flow rate skull prevention BOF high scrap,0.8487666845321655,0.8099901676177979,0.8289251923561096
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,9,Post combustion heat transfer efficiency increases scrap melting CO2 to CO ratio bath surface distance trials,BOF lance height 1.8 m Mach 2.0 4-hole nozzle scrap >25% skull index PCR,0.8270964622497559,0.8193843364715576,0.8232223391532898
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,10,BOF lance height range meters above bath converter typical operating,lance tip swirl angle skull reduction post-combustion BOF high scrap,0.8590993881225586,0.8510667681694031,0.8550641536712646
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,11,Skull formation BOF lance causes FeO slag basicity low temperature solid slag prevention MgO,lance tip nozzle angle degrees BOF skull prevention post-combustion efficiency,0.8451170921325684,0.8172022104263306,0.8309252858161926
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,12,Bottom stirring improves scrap melting carbon oxygen equilibrium reduces FeO BOF,BOF lance nozzle angle configuration skull prevention high scrap ratio,0.8448126912117004,0.8415844440460205,0.8431954979896545
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,13,Double flow post combustion lance tip life doubled scrap consumption increase trials,BOF lance skull prevention FeO content slag basicity MgO saturation,0.8342311978340149,0.844086766242981,0.8391299843788147
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,14,Lance height increase higher post combustion ratio FeO foamy slag PCR converter,BOF dual-flow lance secondary oxygen 3% PCR 0.17 scrap 28% lance height,0.8460246920585632,0.8464248180389404,0.8462246656417847
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,15,Optimization swirl flow post-combustion oxygen lance parameters CFD 260-ton converter,lance tip cooling water flow rate skull formation BOF high scrap,0.8451703786849976,0.8317843079566956,0.8384239077568054
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,16,Variation Multiphase Flow Single-Flow Post-combustion Oxygen Lance BOF Steelmaking,BOF lance tip design double flow post-combustion scrap melting,0.8927375674247742,0.87660813331604,0.8845993280410767
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,17,Post-combustion oxygen secondary 3% total oxygen flow LD3 trials,post-combustion lance secondary oxygen flow rate 3% skull reduction BOF,0.9032415747642517,0.9183647036552429,0.9107403755187988
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,18,LD3 post-combustion lance secondary oxygen 3% total oxygen flow rate trials,lance tip cooling water flow rate skull formation BOF high scrap,0.8504806756973267,0.8466256856918335,0.8485487699508667
How to protect the slag line from the electric arc's radiation in a ladle furnace?,1,foamy slag practice EAF arc shielding refractory protection,foamy slag practice electric arc furnace radiation shielding ladle furnace,0.8991476893424988,0.8958101868629456,0.8974758386611938
