research_question,query_id,target_query,generated_query,bertscore_precision,bertscore_recall,bertscore_f1
"What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?",1,"Influence of decarburized layer thickness, porosity, and thermal gradient on spalling fatigue in MgO-C snorkel refractories under oxygen lance conditions",Mechanisms of refractory erosion by oxygen lance in RH degasser snorkel tubes,0.8706821799278259,0.8570095300674438,0.8637917637825012
"What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?",2,"Synergistic corrosion of MgO-C and spinel refractories by RH slag at 1650°C: effect of oxygen lance on slag basicity, FeO activity, and penetration kinetics",Effect of oxygen lance turbulence on protective slag layer removal in RH degasser snorkel tubes,0.8665395975112915,0.8413168787956238,0.8537420034408569
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,1,BOF skull formation lance height prevention,Impact of lance tip rotation on skull formation in high scrap ratio BOF operations,0.8663099408149719,0.8993223309516907,0.8825075626373291
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,2,Basic oxygen furnace high scrap ratio post combustion efficiency,lance tip design BOF high scrap ratio post-combustion efficiency,0.9160537719726562,0.9228387475013733,0.9194337725639343
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,3,BOF oxygen lance Mach number 2.0 supersonic nozzle Laval design,BOF dual-flow lance configuration post-combustion efficiency heat transfer,0.888465404510498,0.874953031539917,0.8816574811935425
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,4,BOF bottom stirring argon flow rate combined blowing converter,BOF lance swirl flow post-combustion efficiency high scrap ratio,0.8657882213592529,0.8746212124824524,0.8701822757720947
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,5,Post combustion ratio scrap melting heat balance BOF increase scrap,lance nozzle configuration BOF high scrap ratio skull prevention post combustion,0.8789533376693726,0.8746109008789062,0.8767766952514648
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,6,BOF lance height blow start end soft hard blow slag formation mm,BOF lance height and oxygen flow rate optimization for skull prevention high scrap charge,0.866567850112915,0.86549973487854,0.8660334348678589
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,7,Post combustion efficiency heat transfer efficiency BOF percent CO2 CO optimal lance distance,Optimal slag basicity and FeO content for skull prevention in BOF high scrap charge,0.8195483684539795,0.8378332853317261,0.8285899758338928
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,8,BOF specific oxygen blowing rate 2.5 to 4 Nm3 per ton per minute decarburization,BOF high scrap ratio lance height control system optical sensor skull reduction,0.836696445941925,0.8086063265800476,0.8224115967750549
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,9,Post combustion heat transfer efficiency increases scrap melting CO2 to CO ratio bath surface distance trials,BOF high scrap ratio lance height dynamic adjustment schedule 1.2 to 2.0 meters,0.8373489379882812,0.8233845829963684,0.8303080797195435
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,10,BOF lance height range meters above bath converter typical operating,Effect of lance tip swirl angle on skull formation and PCR in high scrap BOF,0.8386008739471436,0.8345508575439453,0.8365709781646729
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,11,Skull formation BOF lance causes FeO slag basicity low temperature solid slag prevention MgO,BOF high scrap ratio lance height optimization post-combustion efficiency skull prevention trials,0.8406215310096741,0.8249244689941406,0.8326990604400635
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,12,Bottom stirring improves scrap melting carbon oxygen equilibrium reduces FeO BOF,BOF lance nozzle design supersonic jet penetration depth high scrap charge,0.8149633407592773,0.8278430700302124,0.8213527202606201
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,13,Double flow post combustion lance tip life doubled scrap consumption increase trials,BOF lance configuration high scrap ratio post-combustion efficiency nozzle angle design,0.8821964263916016,0.8751786947250366,0.8786735534667969
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,14,Lance height increase higher post combustion ratio FeO foamy slag PCR converter,BOF high scrap ratio lance height secondary oxygen flow CFD simulation optimization,0.8646559715270996,0.860442042350769,0.8625438809394836
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,15,Optimization swirl flow post-combustion oxygen lance parameters CFD 260-ton converter,lance height vs skull formation BOF high scrap ratio trials,0.8379708528518677,0.8280178308486938,0.8329645991325378
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,16,Variation Multiphase Flow Single-Flow Post-combustion Oxygen Lance BOF Steelmaking,Impact of lance tip nozzle geometry on skull formation and post-combustion in high scrap BOF,0.8541845083236694,0.8555139303207397,0.8548487424850464
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,17,Post-combustion oxygen secondary 3% total oxygen flow LD3 trials,BOF lance swirl number 0.5 secondary oxygen flow 3% high scrap ratio trials,0.8718410730361938,0.8952179551124573,0.8833748698234558
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,18,LD3 post-combustion lance secondary oxygen 3% total oxygen flow rate trials,Effect of lance tip design on skull formation in high scrap BOF converters,0.8343077898025513,0.8465498685836792,0.8403842449188232
How to protect the slag line from the electric arc's radiation in a ladle furnace?,1,foamy slag practice EAF arc shielding refractory protection,ladle furnace electric arc radiation shielding techniques slag line,0.867485523223877,0.8799058794975281,0.8736515045166016
