research_question,query_id,target_query,generated_query,bertscore_precision,bertscore_recall,bertscore_f1
How to protect the slag line from the electric arc's radiation in a ladle furnace?,1,foamy slag practice EAF arc shielding refractory protection,ladle furnace slag line radiation shield refractory design,0.8881931304931641,0.9012347459793091,0.8946664333343506
How to protect the slag line from the electric arc's radiation in a ladle furnace?,2,magnesia carbon brick slag line composition antioxidant aluminum silicon,ladle furnace slag line refractory arc radiation alumina magnesia carbon,0.873468279838562,0.9094282388687134,0.8910856246948242
How to protect the slag line from the electric arc's radiation in a ladle furnace?,3,ladle furnace long arc submerged arc slag cover electrode,ladle furnace slag line water cooling panel radiation shield refractory,0.8994196653366089,0.9074012041091919,0.9033928513526917
How to protect the slag line from the electric arc's radiation in a ladle furnace?,4,MgO saturation slag ladle refractory dolomite addition,ladle furnace slag line radiation shield refractory panel water cooling,0.872148334980011,0.8558309078216553,0.8639125823974609
How to protect the slag line from the electric arc's radiation in a ladle furnace?,5,"""slag splashing"" BOF magnesia coating refractory lining life",slag line refractory coating spray application arc radiation protection,0.8747299313545227,0.8698859214782715,0.8723012804985046
How to protect the slag line from the electric arc's radiation in a ladle furnace?,6,"""ladle furnace"" refractory ""slag line"" carbon content 15% 20% MgO-C brick",ladle furnace slag line radiation shield refractory panel,0.9140506982803345,0.8623547554016113,0.8874505162239075
How to protect the slag line from the electric arc's radiation in a ladle furnace?,7,"""ladle furnace"" arc radiation slag line refractory wear secondary steelmaking",ladle furnace slag line radiation shield graphite electrode immersion depth,0.9117045402526855,0.893195390701294,0.9023550748825073
How to protect the slag line from the electric arc's radiation in a ladle furnace?,8,RHI Magnesita ladle slag line MgO-C brick ANKRAL,"ladle furnace"" slag line refractory arc radiation shielding ceramic fiber blanket",0.8354583978652954,0.8369678258895874,0.8362123966217041
How to protect the slag line from the electric arc's radiation in a ladle furnace?,9,0: ladle slag basicity CaO SiO2 ratio MgO saturation refractory protection,ladle furnace slag line arc radiation shielding refractory coating,0.8881122469902039,0.8308956027030945,0.8585517406463623
How to protect the slag line from the electric arc's radiation in a ladle furnace?,10,"""resin bonded"" ""pitch bonded"" magnesia carbon brick comparison ladle",ladle furnace arc radiation graphite oxidation MgO-C refractory,0.8239020109176636,0.8296592235565186,0.8267706036567688
How to protect the slag line from the electric arc's radiation in a ladle furnace?,11,"""foamy slag"" ladle furnace carbon injection long arc protection","ladle furnace"" arc radiation shield refractory graphite electrode distance",0.8524830937385559,0.8559638857841492,0.854219913482666
How to protect the slag line from the electric arc's radiation in a ladle furnace?,12,"""ladle metallurgy"" arc impingement refractory damage electrode misalignment","ladle furnace slag line refractory ""arc radiation"" MgO-C brick thickness",0.8526796698570251,0.8596007823944092,0.8561261892318726
"What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?",1,"Influence of decarburized layer thickness, porosity, and thermal gradient on spalling fatigue in MgO-C snorkel refractories under oxygen lance conditions",RH degasser snorkel refractory wear mechanisms oxygen injection decarburization erosion,0.8572045564651489,0.8419914841651917,0.8495299220085144
"What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?",2,"Synergistic corrosion of MgO-C and spinel refractories by RH slag at 1650°C: effect of oxygen lance on slag basicity, FeO activity, and penetration kinetics",RH snorkel refractory wear mechanisms oxygen lance injection erosion corrosion,0.861624002456665,0.8170841932296753,0.8387632369995117
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,1,BOF skull formation lance height prevention,BOF high scrap ratio lance nozzle design post-combustion skull prevention,0.8811010122299194,0.9196364283561707,0.899956464767456
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,2,Basic oxygen furnace high scrap ratio post combustion efficiency,BOF post-combustion high scrap ratio oxygen flowrate tuyere design,0.876954197883606,0.9056476950645447,0.8910700678825378
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,3,BOF oxygen lance Mach number 2.0 supersonic nozzle Laval design,lance tip design BOF high scrap ratio post combustion skull,0.8548099398612976,0.8541351556777954,0.8544724583625793
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,4,BOF bottom stirring argon flow rate combined blowing converter,lance angle multi-nozzle BOF scrap melting post-combustion trials,0.8564146161079407,0.8518339395523071,0.8541181087493896
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,5,Post combustion ratio scrap melting heat balance BOF increase scrap,scrap preheating BOF lance oxygen enrichment post combustion,0.8652642369270325,0.8790075778961182,0.8720817565917969
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,6,BOF lance height blow start end soft hard blow slag formation mm,lance angle BOF scrap melting skull prevention post combustion,0.8631631135940552,0.8436357975006104,0.8532877564430237
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,7,Post combustion efficiency heat transfer efficiency BOF percent CO2 CO optimal lance distance,BOF lance tip wear skull formation scrap ratio refractory erosion,0.8484075665473938,0.8458662033081055,0.8471350073814392
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,8,BOF specific oxygen blowing rate 2.5 to 4 Nm3 per ton per minute decarburization,BOF scrap ratio 25% skull formation lance tip wear nozzle erosion,0.8603328466415405,0.824508547782898,0.8420398235321045
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,9,Post combustion heat transfer efficiency increases scrap melting CO2 to CO ratio bath surface distance trials,BOF scrap preheating lance configuration post combustion ratio skull reduction,0.8600804209709167,0.8356614112854004,0.8476950526237488
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,10,BOF lance height range meters above bath converter typical operating,lance tip multi-nozzle angle BOF scrap melting post combustion trials,0.8567121028900146,0.8398364782333374,0.8481903672218323
