research_question,query_id,target_query,generated_query,bertscore_precision,bertscore_recall,bertscore_f1
How to protect the slag line from the electric arc's radiation in a ladle furnace?,1,foamy slag practice EAF arc shielding refractory protection,protect slag line electric arc radiation ladle furnace,0.8614706993103027,0.8577095866203308,0.8595860004425049
How to protect the slag line from the electric arc's radiation in a ladle furnace?,2,magnesia carbon brick slag line composition antioxidant aluminum silicon,protect slag line electric arc radiation ladle furnace,0.8681902885437012,0.8609408736228943,0.8645503520965576
How to protect the slag line from the electric arc's radiation in a ladle furnace?,3,ladle furnace long arc submerged arc slag cover electrode,protect slag line electric arc radiation ladle furnace,0.8867371678352356,0.8877773880958557,0.8872569799423218
How to protect the slag line from the electric arc's radiation in a ladle furnace?,4,MgO saturation slag ladle refractory dolomite addition,protect slag line electric arc radiation ladle furnace,0.8744104504585266,0.8314234018325806,0.8523752689361572
How to protect the slag line from the electric arc's radiation in a ladle furnace?,5,"""slag splashing"" BOF magnesia coating refractory lining life",protect slag line electric arc radiation ladle furnace,0.8490340709686279,0.83610999584198,0.8425225019454956
How to protect the slag line from the electric arc's radiation in a ladle furnace?,6,"""ladle furnace"" refractory ""slag line"" carbon content 15% 20% MgO-C brick",protect slag line electric arc radiation ladle furnace,0.8666852712631226,0.825935959815979,0.8458200693130493
How to protect the slag line from the electric arc's radiation in a ladle furnace?,7,"""ladle furnace"" arc radiation slag line refractory wear secondary steelmaking",protect slag line electric arc radiation ladle furnace,0.905851423740387,0.8704664707183838,0.8878065347671509
How to protect the slag line from the electric arc's radiation in a ladle furnace?,8,RHI Magnesita ladle slag line MgO-C brick ANKRAL,protect slag line electric arc radiation ladle furnace,0.874243438243866,0.8328609466552734,0.8530505299568176
How to protect the slag line from the electric arc's radiation in a ladle furnace?,9,0: ladle slag basicity CaO SiO2 ratio MgO saturation refractory protection,protect slag line electric arc radiation ladle furnace,0.8702552318572998,0.8040300011634827,0.8358328938484192
How to protect the slag line from the electric arc's radiation in a ladle furnace?,10,"""resin bonded"" ""pitch bonded"" magnesia carbon brick comparison ladle",protect slag line electric arc radiation ladle furnace,0.8506849408149719,0.8301632404327393,0.8402988910675049
How to protect the slag line from the electric arc's radiation in a ladle furnace?,11,"""foamy slag"" ladle furnace carbon injection long arc protection",protect slag line electric arc radiation ladle furnace,0.9002170562744141,0.885925829410553,0.8930142521858215
How to protect the slag line from the electric arc's radiation in a ladle furnace?,12,"""ladle metallurgy"" arc impingement refractory damage electrode misalignment",protect slag line electric arc radiation ladle furnace,0.8476047515869141,0.8302839398384094,0.8388550281524658
"What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?",1,"Influence of decarburized layer thickness, porosity, and thermal gradient on spalling fatigue in MgO-C snorkel refractories under oxygen lance conditions",distinct mechanisms refractory wear snorkel tubes ruhrstahl-hereaus vacuum degasser injection oxygen through,0.7994186878204346,0.8115302920341492,0.8054289817810059
"What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?",2,"Synergistic corrosion of MgO-C and spinel refractories by RH slag at 1650°C: effect of oxygen lance on slag basicity, FeO activity, and penetration kinetics",distinct mechanisms refractory wear snorkel tubes ruhrstahl-hereaus vacuum degasser injection oxygen through,0.8025156855583191,0.7944048047065735,0.7984396815299988
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,1,BOF skull formation lance height prevention,specific operational parameters lance configurations most effective minimizing skull formation maximizing post-combustion,0.8480879664421082,0.8780933618545532,0.8628299236297607
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,2,Basic oxygen furnace high scrap ratio post combustion efficiency,specific operational parameters lance configurations most effective minimizing skull formation maximizing post-combustion,0.8574271202087402,0.8406490087509155,0.8489552140235901
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,3,BOF oxygen lance Mach number 2.0 supersonic nozzle Laval design,specific operational parameters lance configurations most effective minimizing skull formation maximizing post-combustion,0.8465888500213623,0.8452892899513245,0.8459385633468628
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,4,BOF bottom stirring argon flow rate combined blowing converter,specific operational parameters lance configurations most effective minimizing skull formation maximizing post-combustion,0.8269568681716919,0.8250645399093628,0.8260095715522766
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,5,Post combustion ratio scrap melting heat balance BOF increase scrap,specific operational parameters lance configurations most effective minimizing skull formation maximizing post-combustion,0.8477626442909241,0.838648796081543,0.8431811332702637
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,6,BOF lance height blow start end soft hard blow slag formation mm,specific operational parameters lance configurations most effective minimizing skull formation maximizing post-combustion,0.8498470783233643,0.8383769392967224,0.8440729975700378
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,7,Post combustion efficiency heat transfer efficiency BOF percent CO2 CO optimal lance distance,specific operational parameters lance configurations most effective minimizing skull formation maximizing post-combustion,0.8612880110740662,0.833740234375,0.8472902178764343
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,8,BOF specific oxygen blowing rate 2.5 to 4 Nm3 per ton per minute decarburization,specific operational parameters lance configurations most effective minimizing skull formation maximizing post-combustion,0.8311020135879517,0.8010523915290833,0.8158006072044373
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,9,Post combustion heat transfer efficiency increases scrap melting CO2 to CO ratio bath surface distance trials,specific operational parameters lance configurations most effective minimizing skull formation maximizing post-combustion,0.8512120246887207,0.8115870356559753,0.830927312374115
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,10,BOF lance height range meters above bath converter typical operating,specific operational parameters lance configurations most effective minimizing skull formation maximizing post-combustion,0.8443771600723267,0.8459850549697876,0.845180332660675
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,11,Skull formation BOF lance causes FeO slag basicity low temperature solid slag prevention MgO,specific operational parameters lance configurations most effective minimizing skull formation maximizing post-combustion,0.8442367315292358,0.8101685643196106,0.8268519043922424
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,12,Bottom stirring improves scrap melting carbon oxygen equilibrium reduces FeO BOF,specific operational parameters lance configurations most effective minimizing skull formation maximizing post-combustion,0.8274438381195068,0.809965193271637,0.8186112642288208
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,13,Double flow post combustion lance tip life doubled scrap consumption increase trials,specific operational parameters lance configurations most effective minimizing skull formation maximizing post-combustion,0.862911581993103,0.8495756387710571,0.8561916351318359
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,14,Lance height increase higher post combustion ratio FeO foamy slag PCR converter,specific operational parameters lance configurations most effective minimizing skull formation maximizing post-combustion,0.8603129386901855,0.8351942300796509,0.8475674986839294
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,15,Optimization swirl flow post-combustion oxygen lance parameters CFD 260-ton converter,specific operational parameters lance configurations most effective minimizing skull formation maximizing post-combustion,0.885597825050354,0.867788553237915,0.8766027688980103
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,16,Variation Multiphase Flow Single-Flow Post-combustion Oxygen Lance BOF Steelmaking,specific operational parameters lance configurations most effective minimizing skull formation maximizing post-combustion,0.8523263335227966,0.8389067649841309,0.8455632925033569
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,17,Post-combustion oxygen secondary 3% total oxygen flow LD3 trials,specific operational parameters lance configurations most effective minimizing skull formation maximizing post-combustion,0.8522665500640869,0.8523649573326111,0.8523157238960266
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,18,LD3 post-combustion lance secondary oxygen 3% total oxygen flow rate trials,specific operational parameters lance configurations most effective minimizing skull formation maximizing post-combustion,0.872783899307251,0.8666695952415466,0.8697159290313721
