index,research_question,query_id,target_query,context_v1_prediction,context_v1_f1,context_v1_jaccard,context_prompt_v2_prediction,context_prompt_v2_f1,context_prompt_v2_jaccard,context_retrieval_fewshot_v2_prediction,context_retrieval_fewshot_v2_f1,context_retrieval_fewshot_v2_jaccard,delta_v2_minus_v1,delta_v2_minus_retrieval
0,"What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?",1,"Influence of decarburized layer thickness, porosity, and thermal gradient on spalling fatigue in MgO-C snorkel refractories under oxygen lance conditions",Mechanisms of refractory erosion by oxygen lance in RH degasser snorkel tubes,0.3125,0.18518518518518517,oxygen injection lance erosion mechanism MgO-C refractory RH degasser snorkel tube,0.25806451612903225,0.14814814814814814,RH degasser snorkel tube refractory wear mechanisms oxygen lance,0.20689655172413793,0.11538461538461539,-0.05443548387096775,0.05116796440489432
1,"What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?",2,"Synergistic corrosion of MgO-C and spinel refractories by RH slag at 1650°C: effect of oxygen lance on slag basicity, FeO activity, and penetration kinetics",Effect of oxygen lance turbulence on protective slag layer removal in RH degasser snorkel tubes,0.35897435897435903,0.2413793103448276,Oxygen lance injection RH degasser snorkel refractory wear mechanisms FeO slag penetration thermodynamics,0.32432432432432434,0.21428571428571427,oxygen lance RH degasser snorkel refractory wear mechanisms FeO oxidation,0.23529411764705882,0.14814814814814814,-0.03465003465003469,0.08903020667726552
2,What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,1,BOF skull formation lance height prevention,Impact of lance tip rotation on skull formation in high scrap ratio BOF operations,0.4,0.25,lance height secondary oxygen flow rate skull formation BOF high scrap ratio,0.5555555555555556,0.38461538461538464,BOF lance height nozzle angle high scrap ratio skull formation post-combustion,0.5882352941176471,0.4166666666666667,0.15555555555555556,-0.0326797385620915
3,What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,2,Basic oxygen furnace high scrap ratio post combustion efficiency,lance tip design BOF high scrap ratio post-combustion efficiency,0.4444444444444444,0.2857142857142857,post-combustion lance dual-flow oxygen ratio scrap rate BOF PCR improvement,0.3157894736842105,0.1875,BOF high scrap ratio lance tip design post-combustion efficiency skull reduction,0.39999999999999997,0.25,-0.1286549707602339,-0.08421052631578946
4,What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,3,BOF oxygen lance Mach number 2.0 supersonic nozzle Laval design,BOF dual-flow lance configuration post-combustion efficiency heat transfer,0.2105263157894737,0.11764705882352941,lance nozzle angle 15 degrees skull reduction high scrap ratio BOF patent,0.2608695652173913,0.15,BOF lance nozzle angle skull prevention high scrap ratio patent,0.28571428571428564,0.16666666666666666,0.0503432494279176,-0.024844720496894346
5,What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,4,BOF bottom stirring argon flow rate combined blowing converter,BOF lance swirl flow post-combustion efficiency high scrap ratio,0.2222222222222222,0.125,lance tip erosion copper-silver alloy skull formation BOF high scrap ratio,0.09999999999999999,0.05263157894736842,BOF lance swirl flow post-combustion efficiency skull reduction CFD,0.2222222222222222,0.125,-0.12222222222222222,-0.12222222222222222
6,What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,5,Post combustion ratio scrap melting heat balance BOF increase scrap,lance nozzle configuration BOF high scrap ratio skull prevention post combustion,0.47619047619047616,0.3333333333333333,lance skull adhesion prevention refractory coating materials BOF high scrap ratio,0.28571428571428564,0.17647058823529413,lance tip cooling water temperature skull adhesion BOF high scrap,0.20000000000000004,0.11764705882352941,-0.19047619047619052,0.0857142857142856
7,What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,6,BOF lance height blow start end soft hard blow slag formation mm,BOF lance height and oxygen flow rate optimization for skull prevention high scrap charge,0.23076923076923075,0.13636363636363635,BOF dual-flow lance design FeO slag control high scrap ratio post-combustion efficiency,0.25,0.15,lance nozzle angle BOF high scrap ratio skull prevention heat distribution,0.17391304347826086,0.1,0.019230769230769246,0.07608695652173914
8,What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,7,Post combustion efficiency heat transfer efficiency BOF percent CO2 CO optimal lance distance,Optimal slag basicity and FeO content for skull prevention in BOF high scrap charge,0.14814814814814817,0.08333333333333333,MgO-saturated slag basicity 3.0-3.5 FeO content skull adhesion prevention BOF high scrap,0.07407407407407408,0.04,lance tip nozzle angle BOF high scrap skull prevention post-combustion optimization,0.16666666666666669,0.09523809523809523,-0.07407407407407408,-0.0925925925925926
9,What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,8,BOF specific oxygen blowing rate 2.5 to 4 Nm3 per ton per minute decarburization,BOF high scrap ratio lance height control system optical sensor skull reduction,0.07407407407407407,0.04,CFD simulation BOF dual-flow lance secondary oxygen 3% swirl number 0.5 skull reduction,0.20689655172413796,0.12,lance tip cooling water flow rate skull prevention BOF high scrap,0.15384615384615383,0.08695652173913043,0.13282247765006389,0.05305039787798413
