run,examples,bertscore_precision,bertscore_recall,bertscore_f1,per_example_path
simple_baseline,32,0.8556202277541161,0.8390213120728731,0.8471388462930918,results\bertscore_simple_baseline.csv
llm_v1,32,0.8588196020573378,0.8604002892971039,0.859512735158205,results\bertscore_llm_v1.csv
llm_v2,32,0.8630311638116837,0.8565753772854805,0.8597102388739586,results\bertscore_llm_v2.csv
llm_v3_fewshot,32,0.8603313658386469,0.8598236851394176,0.8599280994385481,results\bertscore_llm_v3_fewshot.csv
llm_v4_retrieval_fewshot,32,0.863691383972764,0.8572980668395758,0.8603463172912598,results\bertscore_llm_v4_retrieval_fewshot.csv
llm_context_v1,32,0.8620011862367392,0.8599046710878611,0.8608527202159166,results\bertscore_llm_context_v1.csv
llm_context_retrieval_fewshot_v2,32,0.8626256454735994,0.8600004278123379,0.8612191211432219,results\bertscore_llm_context_retrieval_fewshot_v2.csv
llm_context_prompt_v2,32,0.8601010218262672,0.8612564187496901,0.8605978805571795,results\bertscore_llm_context_prompt_v2.csv
llm_context_hybrid_router,32,0.8639813214540482,0.863735344260931,0.8637706506997347,results\bertscore_llm_context_hybrid_router.csv
qwen2.5_1.5b_base,32,0.8395656943321228,0.8472786042839289,0.843294519931078,results\bertscore_qwen2.5_1.5b_base.csv
qwen2.5_1.5b_lora_real,32,0.849475396797061,0.8553372025489807,0.8522147722542286,results\bertscore_qwen2.5_1.5b_lora_real.csv
