research_question,query_id,target_query,generated_query,bertscore_precision,bertscore_recall,bertscore_f1
"What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?",1,"Influence of decarburized layer thickness, porosity, and thermal gradient on spalling fatigue in MgO-C snorkel refractories under oxygen lance conditions",oxygen injection lance erosion mechanism MgO-C refractory RH degasser snorkel tube,0.8690350651741028,0.8472644686698914,0.8580117225646973
"What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?",2,"Synergistic corrosion of MgO-C and spinel refractories by RH slag at 1650°C: effect of oxygen lance on slag basicity, FeO activity, and penetration kinetics",Oxygen lance injection RH degasser snorkel refractory wear mechanisms FeO slag penetration thermodynamics,0.8584984540939331,0.843187153339386,0.8507738709449768
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,1,BOF skull formation lance height prevention,lance height secondary oxygen flow rate skull formation BOF high scrap ratio,0.8626006245613098,0.8786702156066895,0.8705613017082214
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,2,Basic oxygen furnace high scrap ratio post combustion efficiency,post-combustion lance dual-flow oxygen ratio scrap rate BOF PCR improvement,0.872786283493042,0.8952435255050659,0.8838722705841064
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,3,BOF oxygen lance Mach number 2.0 supersonic nozzle Laval design,lance nozzle angle 15 degrees skull reduction high scrap ratio BOF patent,0.8496149182319641,0.8554001450538635,0.8524977564811707
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,4,BOF bottom stirring argon flow rate combined blowing converter,lance tip erosion copper-silver alloy skull formation BOF high scrap ratio,0.8534836173057556,0.8555339574813843,0.854507565498352
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,5,Post combustion ratio scrap melting heat balance BOF increase scrap,lance skull adhesion prevention refractory coating materials BOF high scrap ratio,0.8601669073104858,0.874593198299408,0.8673201203346252
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,6,BOF lance height blow start end soft hard blow slag formation mm,BOF dual-flow lance design FeO slag control high scrap ratio post-combustion efficiency,0.8720493912696838,0.8727095127105713,0.8723793625831604
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,7,Post combustion efficiency heat transfer efficiency BOF percent CO2 CO optimal lance distance,MgO-saturated slag basicity 3.0-3.5 FeO content skull adhesion prevention BOF high scrap,0.8270549774169922,0.8468104600906372,0.836816132068634
What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?,8,BOF specific oxygen blowing rate 2.5 to 4 Nm3 per ton per minute decarburization,CFD simulation BOF dual-flow lance secondary oxygen 3% swirl number 0.5 skull reduction,0.8775711059570312,0.8316117525100708,0.8539735078811646
