research_question,query_id,target_query,generated_query,bertscore_precision,bertscore_recall,bertscore_f1
How to protect the slag line from the electric arc's radiation in a ladle furnace?,1,foamy slag practice EAF arc shielding refractory protection,ladle furnace slag line electric arc radiation refractory protection MgO-C bricks,0.8634369969367981,0.90132737159729,0.8819754123687744
How to protect the slag line from the electric arc's radiation in a ladle furnace?,2,magnesia carbon brick slag line composition antioxidant aluminum silicon,MgO-C refractory oxidation resistance slag line arc radiation shielding,0.8551755547523499,0.8684991002082825,0.8617858290672302
How to protect the slag line from the electric arc's radiation in a ladle furnace?,3,ladle furnace long arc submerged arc slag cover electrode,ladle furnace slag line arc radiation MgO-C refractory emissivity coating,0.8686792850494385,0.9151367545127869,0.8913030028343201
How to protect the slag line from the electric arc's radiation in a ladle furnace?,4,MgO saturation slag ladle refractory dolomite addition,ladle furnace slag line arc radiation MgO-C refractory emissivity coating,0.8784712553024292,0.8885979056358337,0.8835055828094482
How to protect the slag line from the electric arc's radiation in a ladle furnace?,5,"""slag splashing"" BOF magnesia coating refractory lining life",arc radiation absorption slag line refractory coatings zirconia alumina,0.8496594429016113,0.863061249256134,0.8563079237937927
How to protect the slag line from the electric arc's radiation in a ladle furnace?,6,"""ladle furnace"" refractory ""slag line"" carbon content 15% 20% MgO-C brick",ladle furnace arc radiation slag line refractory water cooling panel,0.89490807056427,0.8596562147140503,0.8769279718399048
How to protect the slag line from the electric arc's radiation in a ladle furnace?,7,"""ladle furnace"" arc radiation slag line refractory wear secondary steelmaking",electric arc radiation absorption slag optical basicity FeO CaO,0.8429136872291565,0.850907564163208,0.8468918204307556
How to protect the slag line from the electric arc's radiation in a ladle furnace?,8,RHI Magnesita ladle slag line MgO-C brick ANKRAL,arc radiation absorption slag optical basicity FeO MnO refractory protection,0.8400461673736572,0.8418264389038086,0.8409353494644165
How to protect the slag line from the electric arc's radiation in a ladle furnace?,9,0: ladle slag basicity CaO SiO2 ratio MgO saturation refractory protection,ladle furnace arc radiation shielding refractory coating emissivity,0.8779050707817078,0.8253845572471619,0.8508351445198059
How to protect the slag line from the electric arc's radiation in a ladle furnace?,10,"""resin bonded"" ""pitch bonded"" magnesia carbon brick comparison ladle",ladle furnace arc radiation shielding slag line refractory ceramic fiber blanket,0.8239585161209106,0.8365717530250549,0.830217182636261
